,cum_infections,cum_infectious,cum_tests,cum_diagnoses,cum_recoveries,cum_symptomatic,cum_severe,cum_critical,cum_deaths,cum_quarantined,new_infections,new_infectious,new_tests,new_diagnoses,new_recoveries,new_symptomatic,new_severe,new_critical,new_deaths,new_quarantined,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_diagnosed,n_quarantined,prevalence,incidence,r_eff,doubling_time,test_yield,t
0,400.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2246000.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017777777777777779,0.0,2.2311561712159493,,0.0,0
1,400.4,5.6,6.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.4,5.6,1.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,2245996.0,400.4,5.6,1.8,0.0,0.0,0.0,0.0,0.00017795555555555554,1.780951829705386e-07,2.433988550417399,,0.0,1
2,422.8,56.0,8.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,22.4,50.4,2.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,2245772.0,422.8,56.0,13.2,0.0,0.0,0.0,0.0,0.00018791111111111109,9.974364365547215e-06,2.4571019023846015,,0.0,2
3,465.8,141.4,8.0,0.0,0.0,48.4,0.0,0.0,0.0,0.0,43.0,85.4,0.0,0.0,0.0,35.2,0.0,0.0,0.0,0.0,2245342.0,465.8,141.4,48.4,0.0,0.0,0.0,0.0,0.0002070222222222222,1.9150818550882564e-05,2.4261890496047718,13.865691363164391,0.0,3
4,548.4,229.0,10.0,0.0,0.0,97.4,0.0,0.0,0.0,0.0,82.6,87.6,2.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,2244516.0,548.4,229.0,97.4,0.0,0.0,0.0,0.0,0.00024373333333333334,3.680087880452149e-05,2.3367853208126106,6.6390657793012195,0.0,4
5,650.2,306.2,10.0,0.0,0.0,152.2,0.2,0.0,0.0,0.0,101.8,77.2,0.0,0.0,0.0,54.8,0.2,0.0,0.0,0.0,2243498.0,650.2,306.2,152.2,0.2,0.0,0.0,0.0,0.0002889777777777778,4.537572338754665e-05,2.2237476793533797,4.841545441599437,0.0,5
6,752.0,376.0,11.0,0.0,0.2,203.6,0.2,0.0,0.0,0.0,101.8,69.8,1.0,0.0,0.2,51.4,0.0,0.0,0.0,0.0,2242480.0,751.8,375.8,203.6,0.2,0.0,0.0,0.0,0.0003341333333333333,4.539632270963996e-05,2.1104716990758208,4.343248486568095,0.0,6
7,857.4,446.0,11.0,0.0,0.6,246.0,1.2,0.2,0.0,0.0,105.4,70.0,0.0,0.0,0.4,42.4,1.0,0.2,0.0,0.0,2241426.0,856.8,445.4,245.8,1.2,0.2,0.0,0.0,0.00038080000000000004,4.702446906797956e-05,2.0237809507401527,4.664968610495762,0.0,7
8,971.6,523.0,12.0,0.0,6.2,291.4,3.0,0.6,0.0,0.0,114.2,77.0,1.0,0.0,5.6,45.4,1.8,0.4,0.0,0.0,2240284.0,965.4,516.8,289.0,3.0,0.6,0.0,0.0,0.00042906666666666667,5.097638643728796e-05,1.9709918390482115,5.207250966442315,0.0,8
9,1096.4,606.4,13.0,0.0,24.0,343.8,4.8,0.8,0.0,0.0,124.8,83.4,1.0,0.0,17.8,52.4,1.8,0.2,0.0,0.0,2239036.0,1072.4,582.4,333.0,4.8,0.8,0.0,0.0,0.0004766222222222222,5.573943404082424e-05,1.9406958299225814,5.559278519456255,0.0,9
