,cum_infections,cum_infectious,cum_tests,cum_diagnoses,cum_recoveries,cum_symptomatic,cum_severe,cum_critical,cum_deaths,cum_quarantined,new_infections,new_infectious,new_tests,new_diagnoses,new_recoveries,new_symptomatic,new_severe,new_critical,new_deaths,new_quarantined,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_diagnosed,n_quarantined,prevalence,incidence,r_eff,doubling_time,test_yield,t
0,400.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2246000.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017777777777777779,0.0,2.241048953232982,,0.0,0
1,400.4,5.6,6.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.4,5.6,1.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,2245996.0,400.4,5.6,1.8,0.0,0.0,0.0,0.0,0.00017795555555555554,1.780951829705386e-07,2.4447806762541617,,0.0,1
2,422.8,56.0,8.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,22.4,50.4,2.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,2245772.0,422.8,56.0,13.2,0.0,0.0,0.0,0.0,0.00018791111111111109,9.974364365547215e-06,2.4690091180846645,,0.0,2
3,467.0,141.4,8.0,0.0,0.0,48.4,0.0,0.0,0.0,0.0,44.2,85.4,0.0,0.0,0.0,35.2,0.0,0.0,0.0,0.0,2245330.0,467.0,141.4,48.4,0.0,0.0,0.0,0.0,0.00020755555555555558,1.9685381751223466e-05,2.4378364787677915,13.654306230450786,0.0,3
4,549.6,228.8,10.0,0.0,0.0,97.2,0.0,0.0,0.0,0.0,82.6,87.4,2.0,0.0,0.0,48.8,0.0,0.0,0.0,0.0,2244504.0,549.6,228.8,97.2,0.0,0.0,0.0,0.0,0.0002442666666666667,3.6801115046464125e-05,2.34761990218992,6.602038354984607,0.0,4
5,650.6,305.2,10.0,0.0,0.0,151.8,0.2,0.0,0.0,0.0,101.0,76.4,0.0,0.0,0.0,54.6,0.2,0.0,0.0,0.0,2243494.0,650.6,305.2,151.8,0.2,0.0,0.0,0.0,0.00028915555555555553,4.5019352379585835e-05,2.235321393764297,4.838239367056022,0.0,5
6,753.4,373.4,11.0,0.0,0.2,203.4,0.2,0.0,0.0,0.0,102.8,68.2,1.0,0.0,0.2,51.6,0.0,0.0,0.0,0.0,2242466.0,753.2,373.2,203.4,0.2,0.0,0.0,0.0,0.0003347555555555556,4.584261012719738e-05,2.124306602691951,4.352958877206027,0.0,6
7,857.6,446.0,11.0,0.0,0.6,247.2,1.2,0.2,0.0,0.0,104.2,72.6,0.0,0.0,0.4,43.8,1.0,0.2,0.0,0.0,2241424.0,857.0,445.4,247.0,1.2,0.2,0.0,0.0,0.00038088888888888884,4.648896223894718e-05,2.037935729558844,4.692699292029027,0.0,7
8,981.0,524.0,12.0,0.0,6.2,293.8,3.0,0.6,0.0,0.0,123.4,78.0,1.0,0.0,5.6,46.6,1.8,0.4,0.0,0.0,2240190.0,974.8,517.8,291.4,3.0,0.6,0.0,0.0,0.0004332444444444444,5.5085717643354666e-05,1.9824904660234632,5.083990881269932,0.0,8
9,1096.8,612.2,13.0,0.0,24.0,347.2,4.8,0.8,0.0,0.0,115.8,88.2,1.0,0.0,17.8,53.4,1.8,0.2,0.0,0.0,2239032.0,1072.8,588.2,336.4,4.8,0.8,0.0,0.0,0.00047680000000000004,5.1719118968813476e-05,1.960119242421678,5.555659742481775,0.0,9
10,1232.8,705.8,13.0,0.0,56.0,411.0,7.6,0.8,0.0,0.0,136.0,93.6,0.0,0.0,32.0,63.8,2.8,0.0,0.0,0.0,2237672.0,1176.8,649.8,383.6,7.6,0.8,0.0,0.0,0.0005230222222222223,6.0777578695464044e-05,1.9772661314485398,5.740811573385466,0.0,10
11,1388.6,814.2,13.0,0.0,104.2,473.6,10.2,1.2,0.0,0.0,155.8,108.4,0.0,0.0,48.2,62.6,2.6,0.4,0.0,0.0,2236114.0,1284.4,710.0,418.6,10.2,1.2,0.0,0.0,0.0005708444444444445,6.967487879272693e-05,2.0155171308353577,5.997323358903472,0.0,11
12,1560.8,925.6,13.0,0.0,167.6,548.6,15.0,1.4,0.0,0.0,172.2,111.4,0.0,0.0,63.4,75.0,4.8,0.2,0.0,0.0,2234392.0,1393.2,758.0,455.2,15.0,1.4,0.0,0.0,0.0006192,7.706992029235434e-05,2.0378411955732725,5.900209043944613,0.0,12
13,1737.0,1049.6,13.0,0.0,239.4,624.8,18.2,2.0,0.2,0.0,176.2,124.0,0.0,0.0,71.8,76.2,3.2,0.6,0.2,0.0,2232630.0,1497.4,810.0,486.6,18.0,1.8,0.0,0.0,0.0006655111646024929,7.892227324553547e-05,2.0350316198378424,6.079871071094933,0.0,13
14,1929.8,1179.6,13.0,0.0,316.0,708.2,20.8,2.8,0.2,0.0,192.8,130.0,0.0,0.0,76.6,83.4,2.6,0.8,0.0,0.0,2230702.0,1613.6,863.4,522.2,20.6,2.6,0.0,0.0,0.0007171556129580501,8.643280962994151e-05,2.0237472041502196,6.336724464657307,0.0,14
15,2135.2,1326.0,13.0,0.0,382.2,801.0,24.6,4.2,0.4,0.0,205.4,146.4,0.0,0.0,66.2,92.8,3.8,1.4,0.2,0.0,2228648.0,1752.6,943.4,568.2,24.2,3.8,0.0,0.0,0.0007789334644938854,9.216804028433026e-05,2.015483955252421,6.668494017959128,0.0,15
16,2357.6,1484.2,13.0,0.0,461.4,896.6,29.2,5.2,0.6,0.0,222.4,158.2,0.0,0.0,79.2,95.6,4.6,1.0,0.2,0.0,2226424.0,1895.6,1022.2,619.0,28.6,4.6,0.0,0.0,0.0008424891081878194,9.989165096433488e-05,2.021732906945977,6.825936728669933,0.0,16
